epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.1428,2.14161,9.42577,1.81072,0.00231,0.40909,0.00212,0.00114,1.62094,4.34194,1.63851,0.00012,0.00012,0.00012
2,7.65967,1.96457,7.01415,1.7402,0.56636,0.36364,0.38449,0.18805,1.41451,8.62318,1.41342,0.000257426,0.000257426,0.000257426
3,10.6463,1.45187,2.99101,1.37529,0.98817,0.54545,0.68093,0.42735,1.34663,2.04039,1.29485,0.00039208,0.00039208,0.00039208
4,13.0372,1.399,2.11513,1.32141,0.16945,0.59091,0.13038,0.08267,1.49701,3.95788,1.46789,0.000523962,0.000523962,0.000523962
5,15.3933,1.37384,1.71869,1.32899,0.68524,0.39657,0.43806,0.25715,1.47143,2.51033,1.59549,0.000653072,0.000653072,0.000653072
6,17.6802,1.31513,1.79081,1.30613,0.79656,0.54545,0.6181,0.3631,1.71559,2.10022,1.86764,0.00077941,0.00077941,0.00077941
7,20.1032,1.36533,1.70112,1.32877,0.02515,0.09091,0.00527,0.00169,3.06638,10.7155,3.63936,0.000902976,0.000902976,0.000902976
8,22.9363,1.32011,1.51314,1.35534,0.12762,0.18182,0.03584,0.00952,2.8006,4.5393,2.86593,0.00102377,0.00102377,0.00102377
9,25.6207,1.39275,1.75484,1.3531,0.02039,0.13636,0.01095,0.00527,2.46165,25.3695,2.47407,0.00114179,0.00114179,0.00114179
10,28.2253,1.40286,1.56526,1.37028,0.00521,0.40909,0.00376,0.00167,2.24351,157.289,2.04592,0.00125704,0.00125704,0.00125704
11,30.5466,1.28328,1.42149,1.24829,0.21053,0.18182,0.17019,0.09941,1.98042,70.9936,2.00714,0.00136952,0.00136952,0.00136952
12,32.8647,1.33529,1.49402,1.35145,0.75868,0.31818,0.37009,0.21623,1.90804,5.44314,2.0991,0.00147923,0.00147923,0.00147923
13,35.8364,1.35132,1.30909,1.3439,0.40656,0.40909,0.37794,0.22862,1.94965,10.2857,2.28744,0.00158616,0.00158616,0.00158616
14,38.1109,1.38987,1.44754,1.39494,0.18068,0.09091,0.07076,0.03909,3.09107,4.78176,4.68172,0.00169032,0.00169032,0.00169032
15,40.359,1.35815,1.3206,1.2858,0.00308,0.13636,0.00189,0.00075,3.35359,615.656,8.46416,0.0017228,0.0017228,0.0017228
16,42.665,1.42419,1.38993,1.35496,0.44444,0.18182,0.14538,0.07761,1.79455,38.5008,2.23969,0.001703,0.001703,0.001703
17,44.883,1.33925,1.25051,1.30064,0.03206,0.40909,0.01839,0.00951,1.7759,70.9473,2.34157,0.0016832,0.0016832,0.0016832
18,47.6351,1.27262,1.23768,1.30924,0.21666,0.31818,0.22181,0.13165,1.90886,6.4728,2.32531,0.0016634,0.0016634,0.0016634
19,50.2939,1.28686,1.11431,1.21653,0.0024,0.22727,0.00165,0.00062,2.57468,409.113,3.0214,0.0016436,0.0016436,0.0016436
20,52.6024,1.2928,1.15482,1.27827,0.00028,0.04545,0.00013,3e-05,3.51284,inf,9.50541,0.0016238,0.0016238,0.0016238
21,54.8734,1.29377,1.10521,1.30348,0.00028,0.04545,0.00013,3e-05,3.69469,inf,11.3559,0.001604,0.001604,0.001604
22,57.1535,1.2483,1.12843,1.30254,0.00259,0.36364,0.00161,0.00048,3.30214,inf,8.83118,0.0015842,0.0015842,0.0015842
23,59.6144,1.20023,1.09308,1.25101,0.00395,0.40909,0.00256,0.00123,2.35359,inf,3.93261,0.0015644,0.0015644,0.0015644
24,62.4401,1.18471,1.15226,1.27941,0.24003,0.22727,0.1098,0.05571,2.09198,4.61063,2.30641,0.0015446,0.0015446,0.0015446
